Common Name,Scientific Name,Population Name,Taxon Group,SARA Status,Final Recovery Document Date,Reassessment Date,Recovery Document Objectives,Species Data,Rationale,Are Trends Consistent With Objectives?
Sand-verbena Moth,Copablepharon fuscum,,Insect,Endangered,23/10/2012,01/11/2013,Increase the size of the 4 known extant subpopulations and establish 1 additional subpopulation in Canada.,"Five sites are recorded in British Columbia, 2 of which are new since the initial assessment. Population numbers are not well known, therefore a change their numbers cannot be reported. A reduction can be inferred based on cumulative habitat losses at all sites.",Population numbers are not well-enough known to assess change.,Insufficient data to determine trends
Savannah Sparrow princeps subspecies,Passerculus sandwichensis princeps,,Bird,Special Concern,25/10/2006,01/11/2009,Maintain the breeding population at the current level.,"Summer and winter censuses both suggest that the population size has doubled over the past 2 decades, and remained relatively stable over the past decade. The current population is estimated to be about 6000 mature individuals.",Stable population is consistent with recovery goals.,Yes
Seaside Birds-foot Lotus,Lotus formosissimus,,"Vascular plant, herb",Endangered,11/08/2006,01/11/2010,"Maintain all 5 extant populations/subpopulations, increasing small populations and conserving larger populations at their current levels of abundance. Establish 1 additional population containing at least 100 flowering individuals per year. The Committee on the Status of Endangered Wildlife in Canada reassessment considers 2 of the extant sites as a single population, accounting for the difference in the number of sites considered.","The extant Canadian populations include an estimated total of 650 to 960 mature individuals. One population contains only 3 mature individuals, while the other 3 each number in the hundreds. Inconsistencies in the area surveyed make it impossible to determine trends in the entire Canadian range. However, populations and subpopulations that have been surveyed repeatedly appear stable.",Populations appear to be self-sustaining. No new populations have been established,Mixed evidence
Sei Whale,Balaenoptera borealis,Pacific population,Mammal,Endangered,14/07/2006,29/11/2013,"Attain a long-term viable population of the Sei Whales that occasionally use Pacific Canadian waters. If their presence is confirmed, maintain or increase the relative proportion of Sei Whales that occur in Pacific Canadian waters compared to the whole population through to 2016.","Sei Whales have been sighted only twice in Pacific Canadian waters since commercial whaling in Canada ceased; once in 2004, and once in 2008. Possible calls were detected by passive acoustic recorders at Union Seamount in 2006, and La Perouse Bank in 2007. The infrequency of observations (visual and acoustic) suggests that numbers in Canada are currently very low (well below 250 mature individuals).",The population is likely well below 250 mature individuals; additional information is required to determine if any recovery progress has been made.,Insufficient data to determine trends
Shortnose Cisco,Coregonus reighardi,,"Fish, freshwater",Endangered,09/08/2012,01/04/2017,Not feasible,n/a,n/a,Not feasible
Short-tailed Albatross,Phoebastria albatrus,,Bird,Threatened,02/05/2008,01/11/2013,Support and augment international efforts to restore and increase populations.,"The population in 2012 is estimated to be between 3400 and 3500 birds (with a high proportion of immatures and young adults) and is undergoing continued exponential growth of about 7.5% per year. Annual sightings of non-breeders in Alaska, the U.S. west coast and British Columbia are rising at similar rates.",Population size continues to increase.,Yes
Silver Chub,Macrhybopsis storeriana,Great Lakes - Upper St. Lawrence populations,"Fish, freshwater",Endangered,07/09/2010,n/a,Maintain or enhance existing populations in Canada and improve the quality and quantity of their associated habitats between 2010 and 2030.,Abundance has declined substantially over the past 10 years and has remained consistently low over the last 5 years.,Population has declined substantially.,No
Silver Hair Moss,Fabronia pusilla,,Moss,Endangered,02/05/2008,01/05/2012,Confirm the presence of silver hair moss. Protect and maintain any extant populations.,"No change. In Canada, it is known from only 1 cliff in southwestern BC, and although the species has not been found during recent surveys, the expanse of available habitat there, combined with the small stature of the moss, suggests that the species may still be present in at this site.",No new sightings of this species in Canada have been recorded.,Operational goals
Small Whorled Pogonia,Isotria medeoloides,,"Vascular plant, herb",Endangered,20/06/2007,01/05/2011,The long-term goal (2006 to 2026) of this recovery strategy is to maintain the persistence and viability of Canada's only population. Protect extant populations and viable habitat.,"This species' habitat has continued to decline in quality and it has not been seen since 1998. However, this species can remain dormant for years at a time, and therefore there is still a chance it exists.",No new sightings of this species in Canada have been recorded. Habitat is declining in quality.,No
Snuffbox,Epioblasma triquetra,,Mollusc,Endangered,29/01/2007,11/06/2013,"Return healthy self-sustaining populations to the Ausable, Grand, Sydenham and Thames rivers and the St. Clair River delta.","Snuffbox is currently restricted to the East Sydenham and Ausable rivers. Abundance has declined since the 1960s, but reproduction is still occurring. While it may appear that the population size has recently increased since 2001, it is most likely due to increased sampling effort.",Populations in the Sydenham and Ausable rivers appear to be viable as reproduction is occurring at both. The extent of occupancy in these rivers has remained stable.,Yes
Soapweed,Yucca glauca,,"Vascular plant, herb",Threatened,11/08/2011,01/05/2013,"Maintain the existing habitat and distribution of soapweed in Alberta. Maintain naturally self-sustaining populations at the AAFC Onefour Research Station site and increase the reproductive capacity at the Pinhorn site. By 2011, attain a value for annual fruiting success for the Pinhorn population of at least 5% of flowers and maintain annual fruiting success at AAFC Onefour Research Station of at least 7% of flowers. Ensure no loss of soapweed plants due to harvesting for horticultural or medicinal purposes.","This species is only known from 3 prairie sites. A slight increase has been observed at 1 site but longer-term trends are uncertain. Other sites are stable. Fruiting success has increased at Pinhorn, in part due to protection from deer. A critical component of Soapweed population health in the long term is the persistence of the mutualism with the Yucca Moth, as Soapweed plants are pollinated exclusively by Yucca Moth.",No decline or fluctuation in population has been documented. Fruiting success has increased at 1 site.,Yes
Sonora Skipper,Polites sonora,,Insect,Special Concern,30/12/2015,01/11/2016,Ensure the persistence at all known (and newly recorded) locations throughout the species' range in British Columbia.,There is insufficient information to estimate population trends. All subpopulations are considered to be self-sustaining.,There is no evidence of a decline.,Yes
Sowerby's Beaked Whale,Mesoplodon bidens,,Mammal,Special Concern,26/04/2017,01/05/2019,Maintain a stable Sowerby’s Beaked Whale population throughout its range in Atlantic Canadian waters.,Available population estimates are based on limited data and have very large confidence intervals. Therefore there are insufficient data to estimate total population size or to detect trends.,Population trends are unknown.,Insufficient data to determine trends
Spoon-leaved Moss,Bryoandersonia illecebra,,Moss,Endangered,25/10/2006,01/11/2017,"Conserve existing populations in the long term and, if feasible, restore long-term stability and self-sustainability by increasing the size of existing populations and/or the number of known occurrences.","Previous reporting identified 3 subpopulations. Due to an increase in search effort, 20 subpopulations have now been identified. Sizes of most subpopulations revisited appear stable, however there has not been sufficient sampling to determine population trends.",Sizes of revisited subpopulations appear stable.,Yes
Spotted Gar,Lepisosteus oculatus,,"Fish, freshwater",Threatened,30/10/2012,09/05/2018,"Maintain current distributions and densities of extant populations Point Pelee National Park, Rondeau Bay and Long Point Bay.","There are no long-term data for this species. Current population estimate of mature individuals for Point Pelee is 483, for Rondeau Bay is 8121 and the Long Point Bay population is likely very small (only 21 individuals captured since 1947).",Population trends are unknown.,Insufficient data to determine trends
Spotted Owl caurina subspecies,Strix occidentalis caurina,,Bird,Endangered,25/10/2006,01/04/2008,"Immediate objective is to stop the population decline. Establish a stable or increasing, self-sustaining population (more than 250 mature individuals) that is distributed throughout its natural range.","Populations of the Spotted Owl have declined throughout its range in Canada. In British Columbia, inventories between 1992 and 2002 indicate the Canadian population declined by approximately 67% during that period. At the low population levels of 2002, extirpation of the Spotted Owl from Canada was estimated to likely occur within 5 to 10 years.",Population continues to decline; extirpation appears likely.,No
